id,tested_positive
0,18.364244
1,19.852959
2,11.808628
3,26.81735
4,8.770905
5,9.089107
6,21.569223
7,21.38701
8,12.112897
9,11.501503
10,27.069721
11,20.401127
12,12.538178
13,32.854523
14,9.761541
15,11.222962
16,19.045946
17,16.034098
18,12.952512
19,22.36979
20,23.533958
21,23.0548
22,19.42481
23,10.521683
24,9.97875
25,11.8137865
26,12.040235
27,26.724089
28,14.99981
29,11.194058
30,28.34078
31,18.875555
32,9.108352
33,14.173837
34,19.944857
35,26.033522
36,25.817343
37,11.091809
38,13.026103
39,26.110573
40,12.428316
41,15.903704
42,16.82015
43,24.708353
44,24.935213
45,22.21216
46,20.909216
47,16.65697
48,10.310081
49,20.979532
50,24.357698
51,20.49272
52,9.780462
53,16.421118
54,27.368517
55,27.614836
56,11.764081
57,23.100096
58,18.632431
59,25.901995
60,20.19065
61,16.476192
62,22.580578
63,17.834345
64,21.006176
65,21.93391
66,16.449232
67,15.712726
68,12.725436
69,20.07876
70,24.83272
71,13.103005
72,11.464667
73,11.374927
74,11.064176
75,22.401743
76,15.820235
77,24.989962
78,12.289834
79,10.775951
80,23.322966
81,24.880236
82,22.298494
83,13.036107
84,24.401327
85,20.524202
86,22.382097
87,14.15285
88,19.661005
89,21.593103
90,11.791146
91,9.723796
92,22.511156
93,15.294739
94,22.73326
95,16.433195
96,11.204989
97,22.587753
98,12.25463
99,26.422142
100,10.511264
101,20.616335
102,23.88
103,21.191626
104,19.68401
105,22.762358
106,15.998918
107,16.425623
108,13.373318
109,25.844145
110,25.58697
111,26.209152
112,15.437608
113,20.26446
114,29.426804
115,24.95791
116,20.39435
117,10.180793
118,10.845481
119,8.406636
120,10.344102
121,15.223816
122,17.603346
123,12.079918
124,11.393848
125,12.790719
126,26.008848
127,12.893814
128,16.416363
129,10.086568
130,22.752077
131,16.78539
132,22.345911
133,11.832042
134,11.672168
135,10.010123
136,21.951513
137,17.838043
138,24.358545
139,19.884146
140,10.369293
141,25.212778
142,11.336733
143,10.25845
144,27.560415
145,19.146069
146,11.667304
147,12.075351
148,11.578798
149,20.222298
150,20.535074
151,18.263115
152,23.19703
153,12.098796
154,13.298086
155,13.315877
156,22.002216
157,12.991817
158,25.41274
159,22.923864
160,20.741121
161,20.463957
162,23.484995
163,16.32947
164,12.623736
165,15.835786
166,17.041254
167,11.785145
168,10.367188
169,12.4770775
170,9.704692
171,12.112702
172,11.864276
173,26.933594
174,16.920664
175,10.609402
176,9.442259
177,22.056263
178,14.574435
179,24.119432
180,20.393246
181,21.775045
182,21.877047
183,9.65618
184,10.131583
185,21.321882
186,22.813711
187,12.639494
188,18.740023
189,22.652422
190,13.154376
191,10.476363
192,20.61458
193,12.283351
194,26.345633
195,21.338377
196,28.70083
197,24.218962
198,18.670975
199,11.195889
200,24.474062
201,12.460851
202,27.017525
203,19.770102
204,20.523497
205,13.279735
206,21.925924
207,10.635966
208,12.498828
209,20.380274
210,9.637126
211,15.204877
212,23.857714
213,24.90477
214,14.538377
215,25.399866
216,10.667979
217,24.591349
218,23.033995
219,24.73676
220,27.953428
221,24.774624
222,20.750181
223,12.637132
224,16.682978
225,18.384777
226,16.854122
227,18.431612
228,16.19312
229,21.170584
230,25.1374
231,23.522032
232,21.649782
233,15.590722
234,19.230947
235,11.306546
236,10.381771
237,23.678736
238,22.56745
239,20.142618
240,23.95344
241,11.961487
242,24.975529
243,19.37428
244,19.939085
245,24.651579
246,12.477429
247,25.92653
248,13.932054
249,19.894432
250,16.587069
251,24.774622
252,18.935072
253,25.319336
254,10.541014
255,22.159754
256,12.417963
257,33.402428
258,13.215814
259,18.784609
260,15.102752
261,26.545855
262,25.252165
263,24.936213
264,24.943008
265,27.63665
266,22.905403
267,18.025133
268,25.739113
269,23.113504
270,10.767035
271,24.510838
272,13.85173
273,9.29625
274,12.11637
275,13.728734
276,11.889888
277,24.483994
278,22.118229
279,23.258963
280,12.606687
281,13.592368
282,10.083016
283,14.528159
284,25.458298
285,20.885244
286,26.2807
287,21.936514
288,23.21451
289,17.485662
290,33.826557
291,23.575056
292,24.921259
